id,farm_id,length,width,deep,created_at,updated_at,record_id,extracted_at,max_seed_density
2117,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2117,2023-12-21 17:02:10.000,
9,3,16.7,36.2,,2018-03-07 19:05:09.000,2018-03-15 00:58:08.000,ponds_2024_4_12_9,2024-04-12 17:02:11.000,
2116,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2116,2023-12-21 17:02:10.000,
7,3,46.5,32.6,1.1,2018-03-07 19:05:09.000,2018-03-15 00:51:55.000,ponds_2024_4_12_7,2024-04-12 17:02:11.000,131.926121
8,3,48.5,33.0,1.1,2018-03-07 19:05:09.000,2022-05-28 13:31:07.000,ponds_2024_4_12_8,2024-04-12 17:02:11.000,124.921924
11,3,28.2,34.5,1.1,2018-03-07 19:05:09.000,2018-03-15 00:55:32.000,ponds_2024_4_12_11,2024-04-12 17:02:11.000,205.549846
2118,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2118,2023-12-21 17:02:10.000,
4,3,49.14,36.85,0.9,2018-03-07 19:05:09.000,2022-02-28 21:02:57.000,ponds_2024_4_12_4,2024-04-12 17:02:11.000,118.75
2114,8,,,,2018-04-19 20:09:43.000,2018-04-19 20:09:43.000,ponds_2023_12_21_2114,2023-12-21 17:02:10.000,
27136,6901,46.19,34.64,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27136,2024-04-12 17:02:11.000,
27131,6901,57.74,43.3,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27131,2024-04-12 17:02:11.000,
28868,7383,51.64,38.73,,2021-11-30 08:59:31.000,2021-11-30 08:59:31.000,ponds_2024_4_12_28868,2024-04-12 17:02:11.000,50.0
17565,3,28.0,12.0,1.55,2020-10-12 07:28:28.000,2020-10-12 07:28:28.000,ponds_2024_4_12_17565,2024-04-12 17:02:11.000,977.329412
27135,6901,46.19,34.64,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27135,2024-04-12 17:02:11.000,
26452,6738,62.72,47.04,,2021-09-14 00:54:35.000,2021-09-14 00:54:35.000,ponds_2024_4_12_26452,2024-04-12 17:02:11.000,
28814,7364,36.51,27.39,,2021-11-28 14:35:15.000,2021-11-28 14:35:15.000,ponds_2024_4_12_28814,2024-04-12 17:02:11.000,
28818,7364,36.51,27.39,,2021-11-28 14:35:15.000,2021-11-28 14:35:15.000,ponds_2024_4_12_28818,2024-04-12 17:02:11.000,
16883,3,,,1.7,2020-09-10 00:39:06.000,2020-09-10 00:39:06.000,ponds_2024_4_12_16883,2024-04-12 17:02:11.000,81.0
27133,6901,46.19,34.64,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27133,2024-04-12 17:02:11.000,
27137,6901,46.19,34.64,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27137,2024-04-12 17:02:11.000,
28974,7388,,,,2021-12-05 12:16:47.000,2021-12-05 12:16:47.000,ponds_2024_4_12_28974,2024-04-12 17:02:11.000,
2122,11,,,,2018-04-19 21:06:38.000,2018-04-19 21:06:38.000,ponds_2023_12_21_2122,2023-12-21 17:02:10.000,
44547,12537,40.0,30.06,1.3,2023-10-11 04:32:31.000,2023-10-31 07:08:40.000,ponds_2024_4_12_44547,2024-04-12 17:02:11.000,320.412508
44588,12545,30.0,28.0,1.3,2023-10-12 05:49:59.000,2023-12-27 03:41:48.000,ponds_2024_4_12_44588,2024-04-12 17:02:11.000,141.176471
44637,12558,28.0,28.0,1.2,2023-10-15 14:13:00.000,2023-10-15 14:13:00.000,ponds_2024_4_12_44637,2024-04-12 17:02:11.000,114.795918
44645,12559,50.0,50.0,2.0,2023-10-15 17:14:49.000,2023-10-15 17:14:49.000,ponds_2024_4_12_44645,2024-04-12 17:02:11.000,
44712,12563,33.0,32.0,1.1,2023-10-16 07:20:16.000,2023-10-16 07:20:16.000,ponds_2024_4_12_44712,2024-04-12 17:02:11.000,157.19697
44967,13225,5.0,2.0,1.5,2023-10-21 02:22:21.000,2023-10-21 04:34:50.000,ponds_2024_4_12_44967,2024-04-12 17:02:11.000,100.0
45038,13250,30.0,30.0,1.5,2023-10-25 01:21:43.000,2023-10-25 01:29:04.000,ponds_2023_10_29_45038,2023-10-29 17:02:18.000,222.222222
2138,2,44.72,33.54,1.2,2018-04-19 22:11:57.000,2019-09-21 11:25:58.000,ponds_2024_4_12_2138,2024-04-12 17:02:11.000,200.0
44504,12528,100.0,40.0,5.0,2023-10-09 17:17:42.000,2023-10-09 17:17:42.000,ponds_2024_4_12_44504,2024-04-12 17:02:11.000,
44643,12559,50.0,50.0,2.0,2023-10-15 17:14:48.000,2023-10-15 17:14:48.000,ponds_2024_4_12_44643,2024-04-12 17:02:11.000,
44676,12561,50.0,50.0,1.0,2023-10-16 02:03:22.000,2023-10-16 02:03:22.000,ponds_2024_4_12_44676,2024-04-12 17:02:11.000,
44949,13223,50.0,50.0,1.5,2023-10-20 09:18:14.000,2023-10-20 09:18:14.000,ponds_2024_4_12_44949,2024-04-12 17:02:11.000,
44968,13226,1.0,1.0,1.0,2023-10-21 04:22:40.000,2023-10-21 04:22:40.000,ponds_2024_4_12_44968,2024-04-12 17:02:11.000,
45036,13249,3.0,2.0,7.5,2023-10-24 13:15:38.000,2023-10-24 13:15:38.000,ponds_2024_4_12_45036,2024-04-12 17:02:11.000,166.666667
45096,13267,5.0,6.0,2.0,2023-10-26 03:26:52.000,2023-10-26 03:26:52.000,ponds_2024_4_12_45096,2024-04-12 17:02:11.000,
6,3,47.1,31.8,0.9,2018-03-07 19:05:09.000,2018-03-15 00:51:12.000,ponds_2024_4_12_6,2024-04-12 17:02:11.000,133.511348
28828,7370,3.65,2.74,,2021-11-28 19:40:16.000,2021-11-28 19:40:16.000,ponds_2022_7_18_28828,2022-07-18 17:02:18.000,20.0
28829,7371,44.72,33.54,,2021-11-28 21:36:36.000,2021-11-28 21:36:36.000,ponds_2024_4_12_28829,2024-04-12 17:02:11.000,100.0
27148,6904,0.6,0.45,,2021-10-04 11:45:09.000,2021-10-04 11:45:09.000,ponds_2024_4_12_27148,2024-04-12 17:02:11.000,0.01
28810,7364,36.51,27.39,,2021-11-28 14:35:14.000,2021-11-28 14:35:14.000,ponds_2024_4_12_28810,2024-04-12 17:02:11.000,
28870,7385,73.03,54.77,,2021-11-30 11:49:50.000,2021-11-30 11:49:50.000,ponds_2024_4_12_28870,2024-04-12 17:02:11.000,
26456,6738,67.33,50.5,,2021-09-14 00:54:35.000,2021-09-14 00:54:35.000,ponds_2024_4_12_26456,2024-04-12 17:02:11.000,
27134,6901,46.19,34.64,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27134,2024-04-12 17:02:11.000,
28825,7366,51.64,38.73,,2021-11-28 17:03:39.000,2021-11-28 17:03:39.000,ponds_2024_4_12_28825,2024-04-12 17:02:11.000,0.015
44736,12228,30.0,30.0,1.0,2023-10-18 02:33:17.000,2023-10-18 02:33:17.000,ponds_2024_4_12_44736,2024-04-12 17:02:11.000,83.333333
44965,13225,5.0,2.0,1.5,2023-10-21 02:22:21.000,2023-10-21 04:33:47.000,ponds_2024_4_12_44965,2024-04-12 17:02:11.000,100.0
28823,7365,36.51,27.39,,2021-11-28 16:39:53.000,2021-11-28 16:39:53.000,ponds_2021_12_10_28823,2021-12-10 17:02:16.000,
46881,12547,45.0,35.0,1.5,2024-01-10 00:16:47.000,2024-01-10 00:16:47.000,ponds_2024_4_12_46881,2024-04-12 17:02:11.000,80.0
36673,9603,35.0,35.0,30.0,2022-10-26 04:13:02.000,2022-10-26 04:16:05.000,ponds_2024_4_12_36673,2024-04-12 17:02:11.000,0.333333
43425,11712,50.0,50.0,3.0,2023-09-01 13:33:59.000,2023-09-01 13:40:48.000,ponds_2024_4_12_43425,2024-04-12 17:02:11.000,0.04
44570,12540,28.0,23.0,2.0,2023-10-12 01:48:09.000,2023-10-12 01:48:09.000,ponds_2024_4_12_44570,2024-04-12 17:02:11.000,
44716,12567,24.0,22.0,1.0,2023-10-16 10:53:05.000,2023-10-16 10:53:05.000,ponds_2024_4_12_44716,2024-04-12 17:02:11.000,
44723,12567,30.0,26.0,1.0,2023-10-16 10:53:08.000,2023-10-16 10:53:08.000,ponds_2024_4_12_44723,2024-04-12 17:02:11.000,
45086,13266,120.0,10.0,150.0,2023-10-26 03:22:44.000,2023-10-26 03:22:44.000,ponds_2024_4_12_45086,2024-04-12 17:02:11.000,
45093,13267,5.0,8.0,4.0,2023-10-26 03:26:52.000,2023-10-26 03:26:52.000,ponds_2024_4_12_45093,2024-04-12 17:02:11.000,
28821,7365,36.51,27.39,,2021-11-28 16:39:53.000,2021-11-28 16:39:53.000,ponds_2021_12_10_28821,2021-12-10 17:02:16.000,673.0
26459,6738,52.92,39.69,,2021-09-14 00:54:35.000,2021-09-14 00:54:35.000,ponds_2024_4_12_26459,2024-04-12 17:02:11.000,
27151,6904,0.6,0.45,,2021-10-04 11:45:10.000,2021-10-04 11:45:10.000,ponds_2024_4_12_27151,2024-04-12 17:02:11.000,0.01
28873,7387,36.51,27.39,,2021-11-30 22:16:10.000,2021-11-30 22:16:10.000,ponds_2024_4_12_28873,2024-04-12 17:02:11.000,
28826,7366,51.64,38.73,,2021-11-28 17:03:39.000,2021-11-28 17:03:39.000,ponds_2024_4_12_28826,2024-04-12 17:02:11.000,
44601,12549,100.0,10.0,1.0,2023-10-13 06:38:07.000,2023-10-13 06:38:07.000,ponds_2024_4_12_44601,2024-04-12 17:02:11.000,
44642,12559,50.0,50.0,2.0,2023-10-15 17:14:48.000,2023-10-15 17:14:48.000,ponds_2024_4_12_44642,2024-04-12 17:02:11.000,
44654,12560,30.0,30.0,1.6,2023-10-15 18:16:36.000,2023-10-15 18:16:36.000,ponds_2024_4_12_44654,2024-04-12 17:02:11.000,
36663,9603,40.0,40.0,40.0,2022-10-25 08:58:38.000,2022-10-25 08:58:38.000,ponds_2024_4_12_36663,2024-04-12 17:02:11.000,0.000625
36664,9603,30.0,30.0,30.0,2022-10-25 08:59:36.000,2022-10-25 08:59:36.000,ponds_2024_4_12_36664,2024-04-12 17:02:11.000,0.337017
44549,12537,40.0,32.6,1.3,2023-10-11 04:43:48.000,2023-10-31 07:10:13.000,ponds_2024_4_12_44549,2024-04-12 17:02:11.000,276.418712
44598,12549,100.0,10.0,1.0,2023-10-13 06:38:06.000,2023-10-13 06:38:06.000,ponds_2024_4_12_44598,2024-04-12 17:02:11.000,
44658,12560,30.0,30.0,1.6,2023-10-15 18:16:36.000,2023-10-15 18:16:36.000,ponds_2024_4_12_44658,2024-04-12 17:02:11.000,
44713,12563,33.0,32.0,1.1,2023-10-16 07:21:02.000,2023-10-16 07:21:02.000,ponds_2024_4_12_44713,2024-04-12 17:02:11.000,157.19697
45100,13269,5.0,5.0,1.0,2023-10-26 04:13:52.000,2023-10-26 04:13:52.000,ponds_2024_4_12_45100,2024-04-12 17:02:11.000,
44600,12549,100.0,10.0,1.0,2023-10-13 06:38:07.000,2023-10-13 06:38:07.000,ponds_2024_4_12_44600,2024-04-12 17:02:11.000,
44648,12559,50.0,50.0,2.0,2023-10-15 17:14:50.000,2023-10-15 17:14:50.000,ponds_2024_4_12_44648,2024-04-12 17:02:11.000,
44693,12562,40.0,20.0,1.0,2023-10-16 03:07:38.000,2023-10-16 03:07:38.000,ponds_2024_4_12_44693,2024-04-12 17:02:11.000,
44566,12530,32.0,30.0,1.3,2023-10-12 01:38:58.000,2023-10-12 01:38:58.000,ponds_2024_4_12_44566,2024-04-12 17:02:11.000,166.666667
44652,12560,30.0,30.0,1.6,2023-10-15 18:16:36.000,2023-10-15 18:16:36.000,ponds_2024_4_12_44652,2024-04-12 17:02:11.000,424.62845
44689,12562,40.0,20.0,1.0,2023-10-16 03:07:38.000,2023-10-16 03:07:38.000,ponds_2024_4_12_44689,2024-04-12 17:02:11.000,
45090,13266,120.0,10.0,150.0,2023-10-26 03:22:44.000,2023-10-26 03:22:44.000,ponds_2024_4_12_45090,2024-04-12 17:02:11.000,
45520,13378,10.0,,1.3,2023-11-08 13:27:44.000,2023-11-08 13:27:44.000,ponds_2024_4_12_45520,2024-04-12 17:02:11.000,
47762,12546,30.0,70.0,1.5,2024-02-29 05:51:20.000,2024-02-29 05:51:20.000,ponds_2024_4_12_47762,2024-04-12 17:02:11.000,33.333333
36426,9603,30.0,30.0,30.0,2022-10-19 03:50:48.000,2022-10-25 09:45:38.000,ponds_2022_10_25_36426,2022-10-25 17:02:18.000,0.222222
28972,7388,,,,2021-12-05 12:16:47.000,2021-12-05 12:16:47.000,ponds_2024_4_12_28972,2024-04-12 17:02:11.000,
27125,6900,8.94,6.71,,2021-10-04 01:02:01.000,2021-10-04 01:02:01.000,ponds_2024_4_12_27125,2024-04-12 17:02:11.000,
27127,6900,8.94,6.71,,2021-10-04 01:02:01.000,2021-10-04 01:02:01.000,ponds_2024_4_12_27127,2024-04-12 17:02:11.000,
28830,7371,36.51,27.39,,2021-11-28 21:36:36.000,2021-11-28 21:36:36.000,ponds_2024_4_12_28830,2024-04-12 17:02:11.000,
44630,12556,30.0,16.0,1.0,2023-10-15 01:52:26.000,2023-10-15 01:52:26.000,ponds_2024_4_12_44630,2024-04-12 17:02:11.000,97.916667
44657,12560,30.0,30.0,1.6,2023-10-15 18:16:36.000,2023-10-15 18:16:36.000,ponds_2024_4_12_44657,2024-04-12 17:02:11.000,
44717,12567,26.0,24.0,1.0,2023-10-16 10:53:05.000,2023-10-16 10:53:05.000,ponds_2024_4_12_44717,2024-04-12 17:02:11.000,
44958,13225,5.0,2.0,1.5,2023-10-21 02:22:21.000,2023-10-21 04:30:02.000,ponds_2024_4_12_44958,2024-04-12 17:02:11.000,100.0
45087,13266,120.0,10.0,150.0,2023-10-26 03:22:44.000,2023-10-26 03:22:44.000,ponds_2024_4_12_45087,2024-04-12 17:02:11.000,
44501,12528,100.0,40.0,5.0,2023-10-09 17:17:40.000,2023-10-09 17:17:40.000,ponds_2024_4_12_44501,2024-04-12 17:02:11.000,
44542,12537,50.0,40.01,1.3,2023-10-11 04:32:31.000,2023-10-11 04:32:31.000,ponds_2024_4_12_44542,2024-04-12 17:02:11.000,192.110972
44545,12537,40.0,35.13,1.3,2023-10-11 04:32:31.000,2023-10-11 04:32:31.000,ponds_2024_4_12_44545,2024-04-12 17:02:11.000,274.170225
37329,6739,50.0,50.0,1.0,2022-12-03 00:35:47.000,2022-12-03 00:35:47.000,ponds_2024_4_12_37329,2024-04-12 17:02:11.000,20.0
44614,12553,40.0,40.0,1.5,2023-10-14 03:18:54.000,2023-10-14 03:29:29.000,ponds_2024_4_12_44614,2024-04-12 17:02:11.000,
44959,13225,5.0,2.0,1.5,2023-10-21 02:22:21.000,2023-10-21 04:30:35.000,ponds_2024_4_12_44959,2024-04-12 17:02:11.000,100.0
45089,13266,120.0,10.0,150.0,2023-10-26 03:22:44.000,2023-10-26 03:22:44.000,ponds_2024_4_12_45089,2024-04-12 17:02:11.000,
44700,12563,33.0,32.0,1.1,2023-10-16 05:42:54.000,2023-10-16 05:43:52.000,ponds_2024_4_12_44700,2024-04-12 17:02:11.000,157.19697
45298,12569,27.0,28.0,1.2,2023-10-31 22:31:22.000,2023-10-31 22:31:22.000,ponds_2024_4_12_45298,2024-04-12 17:02:11.000,166.666667
44701,12564,24.0,24.0,3.0,2023-10-16 06:46:15.000,2023-10-16 06:46:15.000,ponds_2024_4_12_44701,2024-04-12 17:02:11.000,221.160651
44704,12564,30.0,30.0,3.0,2023-10-16 06:46:15.000,2023-10-16 06:46:15.000,ponds_2024_4_12_44704,2024-04-12 17:02:11.000,
44721,12567,22.0,24.0,1.0,2023-10-16 10:53:07.000,2023-10-16 10:53:07.000,ponds_2024_4_12_44721,2024-04-12 17:02:11.000,
44741,12566,40.0,40.0,1.0,2023-10-18 02:53:29.000,2023-10-18 02:53:29.000,ponds_2024_4_12_44741,2024-04-12 17:02:11.000,
45098,13268,8.0,5.0,2.0,2023-10-26 03:55:09.000,2023-10-26 03:55:09.000,ponds_2024_4_12_45098,2024-04-12 17:02:11.000,12500.0
45297,12569,27.0,28.0,1.2,2023-10-31 22:31:22.000,2023-10-31 22:31:22.000,ponds_2024_4_12_45297,2024-04-12 17:02:11.000,166.666667
36651,9603,13.0,13.0,1.0,2022-10-25 07:49:04.000,2022-10-25 09:45:22.000,ponds_2024_4_12_36651,2024-04-12 17:02:11.000,23.251653
44641,12559,50.0,50.0,2.0,2023-10-15 17:14:48.000,2023-10-15 17:14:48.000,ponds_2024_4_12_44641,2024-04-12 17:02:11.000,
44660,12560,30.0,30.0,1.6,2023-10-15 18:20:23.000,2023-10-15 18:20:23.000,ponds_2024_4_12_44660,2024-04-12 17:02:11.000,
44685,12562,40.0,20.0,1.0,2023-10-16 03:07:38.000,2023-10-16 03:07:38.000,ponds_2024_4_12_44685,2024-04-12 17:02:11.000,
44686,12562,40.0,20.0,1.0,2023-10-16 03:07:38.000,2023-10-16 03:07:38.000,ponds_2024_4_12_44686,2024-04-12 17:02:11.000,
44715,12567,20.0,24.0,1.0,2023-10-16 10:53:04.000,2023-10-16 10:53:04.000,ponds_2024_4_12_44715,2024-04-12 17:02:11.000,72.916667
37694,9986,10.0,,1.0,2022-12-23 06:03:33.000,2022-12-23 06:03:33.000,ponds_2024_4_12_37694,2024-04-12 17:02:11.000,
44589,12546,52.0,25.0,1.5,2023-10-12 12:34:54.000,2023-10-12 12:34:54.000,ponds_2024_4_12_44589,2024-04-12 17:02:11.000,
44599,12549,100.0,10.0,1.0,2023-10-13 06:38:06.000,2023-10-13 06:38:06.000,ponds_2024_4_12_44599,2024-04-12 17:02:11.000,
45042,13251,34.0,34.0,1.6,2023-10-25 02:07:41.000,2023-10-25 02:07:41.000,ponds_2024_4_12_45042,2024-04-12 17:02:11.000,
36427,9603,30.0,,30.0,2022-10-19 03:50:48.000,2022-10-19 03:50:48.000,ponds_2022_10_24_36427,2022-10-24 17:02:17.000,
44503,12528,100.0,40.0,5.0,2023-10-09 17:17:41.000,2023-10-09 17:17:41.000,ponds_2024_4_12_44503,2024-04-12 17:02:11.000,
44544,12537,50.0,40.07,1.3,2023-10-11 04:32:31.000,2023-10-31 07:07:37.000,ponds_2024_4_12_44544,2024-04-12 17:02:11.000,192.295483
44612,12551,1.0,1.0,1.0,2023-10-13 12:17:56.000,2023-10-13 12:17:56.000,ponds_2024_4_12_44612,2024-04-12 17:02:11.000,
44615,12553,40.0,40.0,1.5,2023-10-14 03:18:54.000,2023-10-14 03:29:44.000,ponds_2024_4_12_44615,2024-04-12 17:02:11.000,
44644,12559,50.0,50.0,2.0,2023-10-15 17:14:48.000,2023-10-15 17:14:48.000,ponds_2024_4_12_44644,2024-04-12 17:02:11.000,
44659,12560,30.0,30.0,1.6,2023-10-15 18:20:23.000,2023-10-15 18:20:23.000,ponds_2024_4_12_44659,2024-04-12 17:02:11.000,
2123,11,,,,2018-04-19 21:06:38.000,2018-04-19 21:06:38.000,ponds_2023_12_21_2123,2023-12-21 17:02:10.000,
2125,11,,,,2018-04-19 21:06:38.000,2018-04-19 21:06:38.000,ponds_2023_12_21_2125,2023-12-21 17:02:10.000,
2,3,37.3,29.0,1.1,2018-03-07 19:05:09.000,2018-03-15 00:46:10.000,ponds_2024_4_12_2,2024-04-12 17:02:11.000,115.526802
2140,2,,,,2018-04-19 22:11:57.000,2018-04-19 22:11:57.000,ponds_2024_4_12_2140,2024-04-12 17:02:11.000,
26457,6738,56.57,42.43,,2021-09-14 00:54:35.000,2021-09-14 00:54:35.000,ponds_2024_4_12_26457,2024-04-12 17:02:11.000,
28871,7385,89.44,67.08,,2021-11-30 11:49:51.000,2021-11-30 11:49:51.000,ponds_2024_4_12_28871,2024-04-12 17:02:11.000,
28970,7388,81.65,61.24,,2021-12-05 12:16:47.000,2021-12-05 12:16:47.000,ponds_2024_4_12_28970,2024-04-12 17:02:11.000,
27130,6901,57.74,43.3,,2021-10-04 03:49:38.000,2021-10-04 03:49:38.000,ponds_2024_4_12_27130,2024-04-12 17:02:11.000,
28869,7385,51.64,38.73,,2021-11-30 11:49:49.000,2021-11-30 11:49:49.000,ponds_2024_4_12_28869,2024-04-12 17:02:11.000,150.0
28813,7364,36.51,27.39,,2021-11-28 14:35:15.000,2021-11-28 14:35:15.000,ponds_2024_4_12_28813,2024-04-12 17:02:11.000,
44546,12537,40.0,35.13,1.3,2023-10-11 04:32:31.000,2023-10-11 04:32:31.000,ponds_2024_4_12_44546,2024-04-12 17:02:11.000,291.622545
44639,12559,50.0,50.0,2.0,2023-10-15 17:14:47.000,2023-10-15 17:14:47.000,ponds_2024_4_12_44639,2024-04-12 17:02:11.000,195.72
45088,13266,120.0,10.0,150.0,2023-10-26 03:22:44.000,2023-10-26 03:22:44.000,ponds_2024_4_12_45088,2024-04-12 17:02:11.000,
44603,12550,150.0,20.0,1.0,2023-10-13 07:50:22.000,2023-10-13 07:50:22.000,ponds_2024_4_12_44603,2024-04-12 17:02:11.000,120.0
44616,12553,40.0,40.0,1.5,2023-10-14 03:18:54.000,2023-10-14 03:29:59.000,ponds_2024_4_12_44616,2024-04-12 17:02:11.000,
44650,12560,30.0,30.0,1.6,2023-10-15 18:16:36.000,2023-10-15 18:16:36.000,ponds_2024_4_12_44650,2024-04-12 17:02:11.000,424.62845
44684,12561,50.0,50.0,1.0,2023-10-16 02:03:22.000,2023-10-16 02:03:22.000,ponds_2024_4_12_44684,2024-04-12 17:02:11.000,
44585,12545,27.0,23.0,1.3,2023-10-12 05:49:59.000,2023-12-27 03:42:48.000,ponds_2024_4_12_44585,2024-04-12 17:02:11.000,128.824477
44691,12562,40.0,20.0,1.0,2023-10-16 03:07:38.000,2023-10-16 03:07:38.000,ponds_2024_4_12_44691,2024-04-12 17:02:11.000,
44702,12564,32.0,32.0,3.0,2023-10-16 06:46:15.000,2023-10-16 06:46:15.000,ponds_2024_4_12_44702,2024-04-12 17:02:11.000,
45085,13266,120.0,10.0,150.0,2023-10-26 03:22:44.000,2023-10-26 03:22:44.000,ponds_2024_4_12_45085,2024-04-12 17:02:11.000,
45094,13267,7.0,5.0,2.0,2023-10-26 03:26:52.000,2023-10-26 03:26:52.000,ponds_2024_4_12_45094,2024-04-12 17:02:11.000,
44568,12540,28.0,23.0,2.0,2023-10-12 01:48:08.000,2023-10-12 01:48:08.000,ponds_2024_4_12_44568,2024-04-12 17:02:11.000,
44572,12540,28.0,23.0,2.0,2023-10-12 01:48:10.000,2023-10-12 01:48:10.000,ponds_2024_4_12_44572,2024-04-12 17:02:11.000,
44607,12550,150.0,20.0,1.0,2023-10-13 07:50:25.000,2023-10-13 07:50:25.000,ponds_2024_4_12_44607,2024-04-12 17:02:11.000,
44667,12560,30.0,30.0,1.6,2023-10-15 18:20:23.000,2023-10-15 18:20:23.000,ponds_2024_4_12_44667,2024-04-12 17:02:11.000,
44706,12564,32.0,32.0,3.0,2023-10-16 06:46:15.000,2023-10-16 06:46:15.000,ponds_2024_4_12_44706,2024-04-12 17:02:11.000,
44960,13225,5.0,2.0,1.5,2023-10-21 02:22:21.000,2023-10-21 04:31:08.000,ponds_2024_4_12_44960,2024-04-12 17:02:11.000,100.0
45092,13267,10.0,5.0,2.0,2023-10-26 03:26:52.000,2023-10-26 03:26:52.000,ponds_2024_4_12_45092,2024-04-12 17:02:11.000,
45521,13378,10.0,,1.3,2023-11-08 13:27:45.000,2023-11-08 13:27:45.000,ponds_2024_4_12_45521,2024-04-12 17:02:11.000,
36650,9603,12.0,12.0,1.0,2022-10-25 07:48:59.000,2022-10-25 07:48:59.000,ponds_2024_4_12_36650,2024-04-12 17:02:11.000,85.729167
37695,9986,10.0,,1.0,2022-12-23 06:03:33.000,2022-12-23 06:03:33.000,ponds_2024_4_12_37695,2024-04-12 17:02:11.000,
44502,12528,100.0,40.0,5.0,2023-10-09 17:17:41.000,2023-10-09 17:17:41.000,ponds_2024_4_12_44502,2024-04-12 17:02:11.000,
44663,12560,30.0,30.0,1.6,2023-10-15 18:20:23.000,2023-10-15 18:20:23.000,ponds_2024_4_12_44663,2024-04-12 17:02:11.000,
44981,13228,45.0,43.0,1.0,2023-10-22 02:26:02.000,2024-03-09 14:22:37.000,ponds_2024_4_12_44981,2024-04-12 17:02:11.000,38.656331
45101,13269,5.0,5.0,1.0,2023-10-26 04:13:52.000,2023-10-26 04:13:52.000,ponds_2024_4_12_45101,2024-04-12 17:02:11.000,
44499,12528,100.0,40.0,5.0,2023-10-09 17:17:39.000,2023-10-09 17:17:39.000,ponds_2024_4_12_44499,2024-04-12 17:02:11.000,50.0
44517,12530,24.0,21.0,1.3,2023-10-10 05:40:13.000,2023-10-10 05:40:13.000,ponds_2024_4_12_44517,2024-04-12 17:02:11.000,138.888889
44679,12561,50.0,50.0,1.0,2023-10-16 02:03:22.000,2023-10-16 02:03:22.000,ponds_2024_4_12_44679,2024-04-12 17:02:11.000,
44708,12564,31.0,31.0,3.0,2023-10-16 06:46:15.000,2023-10-16 06:46:15.000,ponds_2024_4_12_44708,2024-04-12 17:02:11.000,
45299,12569,24.0,25.0,1.2,2023-10-31 22:31:22.000,2023-10-31 22:31:22.000,ponds_2024_4_12_45299,2024-04-12 17:02:11.000,180.0
26463,6739,63.25,47.43,,2021-09-14 00:57:09.000,2021-09-14 00:57:09.000,ponds_2021_9_19_26463,2021-09-19 17:02:16.000,31.0
44592,12546,28.0,132.0,1.5,2023-10-12 13:46:50.000,2023-10-12 13:50:11.000,ponds_2023_11_25_44592,2023-11-25 17:02:12.000,18.939394
44656,12560,30.0,30.0,1.6,2023-10-15 18:16:36.000,2023-10-15 18:16:36.000,ponds_2024_4_12_44656,2024-04-12 17:02:11.000,
44963,13225,5.0,2.0,1.5,2023-10-21 02:22:21.000,2023-10-21 04:32:48.000,ponds_2024_4_12_44963,2024-04-12 17:02:11.000,100.0
44577,12542,34.0,30.0,1.4,2023-10-12 01:56:21.000,2023-10-12 01:56:21.000,ponds_2024_4_12_44577,2024-04-12 17:02:11.000,
